combatant_name
['Government of Sudan', 'SAF', 'RSF', 'Janjaweed', ' (pro-Government militia)', 'Armament support:', 'Russia']
['DR Congo', 'Armed Forces ', '(FARDC)', ' Pro-government ', 'Mai-Mai', ' militias', 'FDLR', '(2006–2014)', 'APCLS', '[6]', '(2012–2013)', 'Nyatura', '(2012–2014)', 'MONUSCO', 'Angola', 'Zimbabwe', 'Botswana', '(Against FNL and FNL-Nzabampema only)', 'Supported by:', 'Belgium', 'France']
['Houthis']
['Iran', 'Supported by:', 'Turkey']
['Nigerian government', 'Nigerian Armed Forces']
['Central African Republic', 'Chad', 'MINURCAT', 'MICOPAX', 'CEEAC']
['Macedonian Police']
['Colombia']
['Mozambique', 'Support:', 'Russia', 'Tanzania', 'Portugal']
['Pakistan', 'NWPORBAT', 'Pakistan Armed Forces', 'ISI CAD', 'Frontier Constabulary', 'Local Peace Committees', 'United States', 'CIA', 'SAD/SOG', 'SOCOM', 'USAF']
['Pakistan', 'Pakistan Army', 'Frontier Corps', 'Iran', 'Imperial Army', ' (until 1979)', 'IRGC', ' (since 1980)', 'Border Guard', ' (since 2000)']
['Iraq']
['Cameroon']
['Iraq', 'Support:', 'Iran', 'Turkey']
['Saudi Arabia']
['Upper Egypt', ' under ', 'Narmer']
['Philippines']
['Faction of ', 'Parakrama Pandyan II', 'Kingdom of Polonnaruwa']
['Ayyubid Dynasty']
['Kingdom of Jerusalem']
['English', ' royalists']
['Minamoto clan']
['Normandy']
['Taira clan']
['Emperor Go-Shirakawa']
['Denmark', 'Sweden', 'Sword-Brothers', 'Teutonic Order']
['German Empire']
['Zaidis']
['Empire of Japan']
['Byzantium']
['Ottoman Empire']
['Novgorod Republic', 'Vladimir-Suzdal']
[]
['Kingdom of France']
['Golden Horde']
['Rebels']
['Liberal rebels']
['Emirate of Nejd and Hasa']
['Ecuador']
['Russian Empire', 'Khiva']
['Albania', 'Romanian volunteers', 'Austro-Hungarian volunteers', 'Kosovar', 'Albanian', ' units']
['British Empire']
['Allied Powers', 'British Empire', 'France', 'Russia', ' (1914–17)', 'Serbia', 'Belgium', 'Montenegro', 'Japan', 'Italy', ' (1915–18)', 'United States', ' (1917–18)', 'Romania', ' (1916–18)', 'Portugal', ' (1916–18)', 'Hejaz', ' (1916–18)', 'China', ' (1917–18)', 'Greece', ' (1917–18)', 'Siam', ' (1917–18)', '...', 'and others']
['Russian Empire', '(1916–17)', 'Russian Republic', '(1917)', 'Russian SFSR', 'Turkestan ASSR', 'Khorezm SSR', 'Bukharan PSR', 'Soviet Union', '(From December 30, 1922)']
['Hashemite', ' Arabs', 'United Kingdom', 'Sultanate of Nejd', 'Unification of Saudi Arabia']
['United States']
['British Army', 'Dublin Metropolitan Police', 'Royal Irish Constabulary']
['Republic of China']
['Second Polish Republic']
['Banat Republic']
['First Republic of Armenia']
['Russian SFSR', 'Finnish Red Guards']
['Turkish National Movement', 'Grand National Assembly', '(after 1920)', 'Kuva-yi Nizamiye', 'Kuva-yi Milliye', '(until 1920)', 'Supported by:', 'Russian SFSR']
['France']
['Weimar Republic']
['Zhili clique', 'Fengtian clique']
['Turkish National Movement', 'Russian SFSR']
['Revolutionary committee (Revkom)', ' of Armenia']
[' British ', 'RAF', ' Pro-Hashemite tribesmen:', '[41]', 'Adwan', 'Ajarma', 'Abbad', 'Bani Hasan', 'Bani Hamaida', 'Bani Sakhr', 'Hadid']
['Costa Rica']
['Armenia']
['Turkey']
['Sultanate of Nejd', 'British Empire']
['Romania']
['Faction of ', 'Fan Noli']
['Estonia']
['Soviet Union']
['Igbo Women of Owerri and Calabar Provinces']
['Kingdom of Afghanistan']
['Chile']
['Iran']
['Leftist and Liberal Rebels']
['First Austrian Republic', "Fatherland's Front"]
['United Kingdom', 'British India', 'Transjordan']
['Soviet Union', "People's Republic of Poland", 'Polish Underground State', 'Nazi Germany', '(1941–1944)']
["People's Republic of Bulgaria"]
['Communist Party of China', 'Second East Turkestan Republic', 'Soviet Union', 'White Russian', ' forces', "Mongolian People's Republic"]
["People's Republic of Poland", 'Soviet Union']
['Finland']
['United Kingdom', 'British India']
['Toussaint Louverture']
['British East India Company', 'Maratha Empire', 'Hyderabad', 'Travancore']
['Jewish Resistance Movement', 'Haganah', 'Irgun', 'Lehi']
['Siam']
['French Republic']
['French Republic', 'Spain', 'Polish Legions', 'Denmark–Norway', '[22]', 'French client republics', 'Batavian Republic', 'Helvetic Republic', 'Cisalpine Republic', 'Roman Republic', '(until 1799)', '[23]', 'Parthenopaean Republic', '(1799)', '[24]']
['Habsburg Monarchy']
[' Kingdom Of Great Britain']
['Ethiopian Empire', 'UK']
['Kingdom of Iraq', 'Supported by:', 'Kurdish tribesmen ', '(1945)', 'Zibrari', 'Berwari', 'Doski', "Elements of the ‘Muhajarin' tribe"]
['Government of National Salvation', 'Nazi Germany']
['Philippines', 'United States']
['Spain']
['Soviet Union', 'United Kingdom']
['Independent State of Croatia', 'Italy']
['Russian Empire']
['Qing empire']
['Persian Empire', '* ', 'Ganja Khanate', '* ', 'Erivan Khanate']
['Qing dynasty']
['Russia', 'Prussia']
['Batavian Republic']
['American ', 'Frontiersmen']
['Peru']
['Kingdom of Romania']
['Thailand']
['East India Company']
['British Army', 'Hessian mercenaries']
['Karamanli dynasty']
['Kingdom of Ahom']
['French Republic', 'Spain ', '(from 1796)', 'Batavian Republic', '(from 1795)', 'French satellite states', 'Polish Legions', '(from 1795)', '[19]']
['Burma']
['Russia', 'Targowica Confederates']
['Haiti', 'Great Britain', 'Spain', ' (1793–1795)', 'French royalists']
['Kingdom of Hungary']
['Sudetendeutsches Freikorps', 'Germany']
['Nationalist Spain']
